Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price,Description
96,1395,2,True,True,True,۱۹ ساعت پیش در ساری | فروش آپارتمان,۸۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">با سلام 
یک واحد اپارتمان واقع در اول جاده ساری به سمت نکا بعد از شرکت نفت روبروی عبور هولا کوچه تالار فروزانی نوار دو شقایق هفت طبقه پنج واحد هشت که در بالای شهرک قرار دارد دارای کابینت پکیج شوفاژ کمد دیواری در هر دو اتاق کف سرامیک غرق در نور ویو نما و تقریبا همونجور که در عکس پیداست جنگل هم هست امکانات کامل سال ساخت نود و شیش هست که از اونموقع تا الان فقط یه سال دست مستاجر بوده چون خودم محل زندگیم قم هست کلا خونه خالی بوده دارای پارکینگ و انباری  
دوربین مدار بسته جلوی ورودی اپارتمان نگهبانی قیمت به نسبت واحد های دیگه رو عالی زدم میتونید قیمت بگیرید بیست چهار میلیون وام داره که از مبلغ کل کسر میشه تخفیف هم میدم پای معامله یا علی</p>"
110,1401,2,True,True,True,۱۹ ساعت پیش در ساری | فروش آپارتمان,۲٬۲۵۵٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">آپارتمان ۱۱۰ متری در قائم
طبقه ۲ 
۱۲ واحدی
نورگیر عالی 
نقشه بدون پرتی 
قیمت مناسب 
***********
دلدار</p>"
86,1386,2,True,True,True,۲۰ ساعت پیش در ساری، میدان سلمان فارسی (خیابان سلمان فارسی) | فروش آپارتمان,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان ۸۶ متر
دوخوابه
۸ طبقه
۳۲ واحد
طبقه دوم روبه نما
سند تک برگ
۱۵ سال ساخت
آسانسور و پارکینگ وانباری دارد
کف سرامیک 
هر دو خواب  کمد دیواری  دارد
نورگیری عالی 
آدرس : سلمان فارسی
قیمت: ۱/۴۵۰
لطفا تماس بگیرید پیام‌ پاسخگو نیستم
خانم ملائی</p>"
98,1390,2,True,True,True,۲۰ ساعت پیش در ساری، خیابان رودکی (شهبند) (ب. سردار سلیمانی) | فروش آپارتمان,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">خیابان کوشاسنگ
کوچه کوشاسنگ ۳
سند تک برگ
سال ساخت ۱۳۹۰
۸ واحدی
طبقه ۴
رو به نما
شمالی جنوبی
دو تراس
گرمایش شوفاژ
کابینت ام دی اف
کف سرامیک
دارای انباری پارکینگ آسانسور
واحد تخلیه</p>"
68,1392,2,True,True,True,۲۰ ساعت پیش در ساری | فروش آپارتمان,۹۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">آپارتمان مورد نظر دارای تمام امکانات آسانسور و پارکینگ و انباری و سند تک‌برگ قیمت ذکر شده جای صحبت و تخفیف هم داره . املاک عارف .خدادادی .***********</p>"
90,1399,2,True,True,True,۲۰ ساعت پیش در ساری | فروش آپارتمان,۱٬۷۸۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">#فروش_واحد_مسکونی
کد ۱۱۵

۹۰متر
#دو_خواب

فول امکانات
حیاط خلوت
تجیزات نصب شده
موقعیت مکانی خوب

موقعیت:#شهابی

قیمت:۱/۷۸۰میلیارد

علی***********
املاک پناه
شهابی_خیابان المهدی_روبرو‌ زادسر</p>"
95,1401,2,True,True,True,۲۰ ساعت پیش در ساری | فروش آپارتمان,۱۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">اپارتمان ۹۵ متری
۴ طبقه ۸ واحد 
نورگیر عالی
پارکینگ اختصاصی 
اسانسور
دارابی:***********</p>"
57,1380,1,False,True,False,۲۱ ساعت پیش در ساری | فروش آپارتمان,۶۷۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">۵۷ متر آپارتمان بازسازی کامل 
کابینت mdf
کف سرامیک
تک خواب 
طبقه دوم 
پارکینگ مشاع
وام دارد</p>"
125,1401,2,True,True,True,۲۱ ساعت پیش در ساری | فروش آپارتمان,۲٬۷۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">۱۲۵متر / دو خواب / طبقه ۶ نما / صفر و خشک / پارکینگ و انباری اختصاصی / اسانسور / دوربین مداربسته / چشم انداز عالی / غرق در نور / دسترسی عالی به مراکز خرید ، فروشگاه ها ... 
پاسخ گویی ۲۴ ساعت 
% تخفیف پای معامله %</p>"
145,1401,3,True,True,True,۲۱ ساعت پیش در ساری، خیابان مهدیه | فروش آپارتمان,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">145 متر 
سه خوابه 
کف سرامیک 
پارکینگ و انباری روی سند 
رو بنما 
6 طبقه 12 واحد 
نقشه مهندسی ساز بدون دیوار مشرف 

محدوده بیست متری 

***********
عباسیان</p>"
78,1400,2,True,True,True,۲۱ ساعت پیش در ساری | فروش آپارتمان,۷۴۸٬۸۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">واحد طبقه ۵ هست با ویو بسیار عالی رو به جاده و مزرعه.کابینت هایگلس.پکیج و رادیاتور بهترین برند .آیفون تصویری .درب ضد سرقت .دو لاین آسانسور (باربر و نفر بر).محیطی آرام .بهترین موقعیت برای سرمایه گذاری و سکونت . اقساط وام بروز .</p>"
1,1400,2,True,True,True,۲۲ ساعت پیش در ساری | فروش آپارتمان,۱٬۳۶۵٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش واحد۱۰۵متری باهنر معلم 
فروش طبقات نما
۱۰۵ متر
صفر و خشک
۴ طبقه و ۱۰ واحد
نقشه و مشاعات عالی
اسانسور پارکینگ و انباری
۲تراس
معلم . باهنر
قیمت متری۱۳میلیون تومان 
این ملک هم سند مالکیتش درحال تفکیک شدنه 
پایان کار هم دارد 
اگر وام مسکن هم میخواین بگیرین فرصت براتون میگیریم 
گفتند احیانا یکماه ونیم شاید زمان میبره 
***********
املاک جوان</p>"
224,1399,3,True,True,True,۱ روز پیش در ساری | فروش آپارتمان,۷٬۱۶۸٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">پنت هاوس بزرگ در طبقه پنجم بصورت تک واحدی ( طبقه آخر- واحد نهم) بهمراه فضای خصوصی ( دارای آسانسور تا پشت بام= ایجاد فضای خصوصی برای واحد).
فول امکانات و دیزاین شده با نورگیر عالی دارای سه خواب و یک مستر.
دارای ۳۰‌متر حیاط در قسمت جلویی منزل.
دارای دو پارکینگ.</p>"
110,1391,2,True,True,True,۱ روز پیش در ساری | فروش آپارتمان,۱٬۵۸۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">طبقه ۴رو به نما و خوش نقشه ،۴طبقه و ۸واحد میباشد</p>"
100,1386,2,False,True,True,۱ روز پیش در ساری | فروش آپارتمان,۱٬۰۸۵٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">بازدید مساوی با خرید تخفیف به خریدار واقعی پای معامله
درب ریموت 
۱۳۰ متر‌حیاط 
نورگیر‌عالی 
خوش نقشه 
دسترسی فوق العاده محیط‌ آرام با همسایه های محترم(همگی مالک)
کوچه ۱۶ متری جنب پارک سنگ 
قدرالسهم ۵۰ متر از ۳۰۰ متر زمین ساختمان</p>"
155,1401,3,True,True,True,۱ روز پیش در ساری | فروش آپارتمان,۳٬۴۸۵٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش اپارتمان نوساز
۱۵۵متر
۳خواب ۱مستر
بسیار خوش نقشه
غرق نور
شمالی جنوبی
ساختمان دو کله
صفر و خشک
ادرس : خیابان صبا
جهت بازدید و اطلاعات بیشتر تماس حاصل فرمایید</p>"
155,1400,3,True,True,True,۱ روز پیش در ساری | فروش آپارتمان,۳٬۴۱۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">واحد 155 متری واقع در سلمان فارسی 
3 خوابه دارای خواب مستر 
3 سرویس بهداشتی 
طبقه دوم رو به نما 
دارای اسانسور پارکینگ انباری مستقل 
کابینت کمد ها اجاق گاز پکیج و رادیاتور همگی وصل اماده سکونت
صفر خشک کلید نخورده 
ملک شخصی</p>"
130,1401,3,True,True,True,۱ روز پیش در ساری، کوچه جوادیه بیست و هفتم (خ. جوادیه) | فروش آپارتمان,۱٬۷۹۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">آپارتمان نوساز
فول امکانات
زیر قیمت
سازنده برند
شخصی ساز و متریال درجه یک
کوچه ده متری خلوت، نورگیر عالی
انباری آسانسور پارکینگ دارد
سیصد میلیون شرایط. 
 سیصد و پنجاه میلیون هم امکان رهن دارد.</p>"
125,1398,2,True,True,True,۱ روز پیش در ساری | فروش آپارتمان,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">آپارتمان ۱۲۵ متری 
خیابان دانش
طبقه سوم نما
سال ساخت ۹۸</p>"
