Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price,Description
126,1401,2,True,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۳٬۶۴۵٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان نوساز لوکس
کد:262
جنوبی جنگلی
طبقه ۳ از ۵
متراژ ۱۲۶ متر
هر طبقه دو واحد
اتاق ۲ 
یک خواب مستر
ساخت ۱۴۰۱
اسپلیت / شوفاژ
کف سرامیک
پارکینگ
انباری 
بالکن
تراس
سرویس ایرانی و فرنگی
سند تک برگ
متری ۲۹ میلیون
•••••••••••••••••••••••••••••••
  رکوردسرعت فروش ملک،
باشبکه فروش گسترده املاک لیان 
کارشناس ومشاورفروش:
مجید فراهانی 
         ---------------------
آدرس دفتر:
مازندران،ایردشهر،بین گلستان۱۸و۱۹،جنب فروشگاه کورش،املاک لیان</p>"
189,1401,3,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">لکیشن برندتوریستی شهردر باارزش ترین منطقه شهری
رووف گاردن صدمتری
نما سنگ رومی کلاسیک
سه خواب مستر
فول هوشمند
سند تک برگ اماده انتقال در روز
کمدکابینت ممبران نئوکلاسیک
دکوراسیون داخلی تکمیل،لمسه کاری،آینه کاری،گچ بری،پوستر،کاغذ دیواری،فلور باکس،...
گاز سینک هود وصل
دارای اتاق لندری
پارکینگ وانبار مستقل
پلاک اول ابدی واقعی دریا با استعلامطرح تفصیلی شهر</p>"
110,1399,2,False,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">اپارتمان شهری
خیابان امام
نزدیک دریا
دسترسی کامل به امکانات شهری
بنا ۱۱۰ متر
سند‌دار د
پایان کار دارای پروانه 
۲ خواب
آب مشترک 
گاز برق جدا
2 طبقه 2 واحدی
دارای انبار پارکینگ
قیمت ۱/۴۰۰میلیارد

کارشناس فروش خانم باقری</p>"
100,1391,2,False,True,True,۶ ساعت پیش در محمودآباد، خیابان امام خمینی | فروش آپارتمان,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">√با سلام و عرض ادب 
√فروش آپارتمان
  4 طبقه تک واحدی 
√طبقه اول  
√زمین 100 متر 
√بنا 110 متر 
√2خوابه 
√دارای : درب ورودی آپارتمان برقی میباشد 
√ پارکینگ ماشین 
 √دستشویی فرهنگی وایرانی 
√تراس آب گرم کن دیواری نو 
√جارختخوابی نو و کابینت آشپزخانه نو 
√سقف لمبه
√کف سرامیک 
√با موقعیت مکانی عالی نزدیک به جاده √اصلی  دسترسی  به فروشگاه های خرید 
√مدارک : زمین سند دارد و  واحد فروشنامه ای میباشد  
( تا سقف 100 میلیون رهن هم مینشینم )
√مالک هستم 
® یا علی مدد</p>"
143,1399,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۶۱۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کد ۷۰۹
آپارتمان شهری 
خ معلم 
زمین ۲۰۰ متر 
بنای هرواحد ۱۴۳ متر 
دوخواب 
کلا ۴ ط ۴ واحد 
سند 
مدارک کامل pk۱۴۵
نوساز 
قیمت۲/۶۱۰</p>"
105,1398,2,False,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش یک معامله نیست آغازیک تعهد است ️


هوالرزاق 

✅   #  کد   1404
⚜️  اپارتمان 105متری سنددار محمودآباد 


♨️ فروش فوری ♨️
▪️ 
▪️ متراژبنا 105
▪️ 2 خواب 
 قیمت اعلامی 1/450

طبقه ۲ از ۳
 آسانسور ندارد 
اب برق گاز-هود 
کابینت-گاز  لوستر نصب

مکان،، محموداباد 

مشاور عالی فروش خانم دسترنج


جهت کسب اطلاعات بیشتر و مشاوره رایگان جهت سرمایه گذاری امن و مطمئن تماس حاصل فرمایید ☎️</p>"
121,1395,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۴٬۸۲۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان ساحلی,شهرکی
کد:268 
طبقه ۱ 
چهار طبقه شش واحدی 
پارکینگ
 آسانسور 
انباری 
نگهبانی
متراژ ۱۲۰ متر 
دو خواب ‌مبله 
سرمایش اسپلیت 
گرمایش پکیج
بالکن 
سند تک برگ
•••••••••••••••••••••••••••••••
  رکوردسرعت فروش ملک،
باشبکه فروش گسترده املاک لیان 
کارشناس ومشاورفروش:
مجید فراهانی 
         ---------------------
آدرس دفتر:
مازندران،ایردشهر،بین گلستان۱۸و۱۹،جنب فروشگاه کورش،املاک لیان</p>"
52,1399,1,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">آپارتمان ساحلی
 پلاک ۲دریا 
52متری
 مبله
 طبقه سوم 
مجتمع ۲۰واحدی
 سند تک برگ 
قیمت 1/500 . 
محمودآباد. 
خیابان آزادی
بهترین لوکیشن شهری 
دسترسی کامل به امکانات
کارشناس فروش خانم باقری</p>"
100,1400,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">❗️ مشخصات آپارتمان   ❗️
 کد : A583

نام شهر: ایزدشهر 
منطقه: 
متراژ بنا: 100
متراژ مشاعات :
طبقه: 6
کل طبقات ساختمان: 11
تعداد واحد هر طبقه: 2
کل واحد ه*********************************ل ساخت

⭕️ آپشن های آپارتمان
✅ ویو پارانوما
✅ دو بالکن
✅ سیستم گرمایش و سرمایش VFR
✅ سیستم اعلام حریق و دود
✅ 1 پارکینگ سندی
✅ انباری 4 متری
✅ 2 لاین آسانسور 
✅ آسانسور باربری
✅ دوربین مدار بسته 
✅ لابی من و نگهبان 24 ساعته 
✅ استخر روباز و سونا و جکوزی
✅ سالن بیلیارد 
✅ زمین بستکبال و والیبال و فوتبال
✅ ساحل اختصاصی و محوطه شنا
✅ دو سرویس والهنگ
✅ سرویس کامل اتاق خواب
✅ کابینت Neff
✅ صفحه اجاق گاز الکتریکی Neff
✅ سیستم برق اضطراری 




وضعیت سند: تک برگ آماده انتقال 


قیمت: 10 میلیارد 
فرنیش متری 100میلیون


#A583
#A10

کارشناس فروش: الهام مهرداد</p>"
125,1401,3,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۶۲۵٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">❗️ مشخصات آپارتمان ❗️
 کد : A654


نام شهر: محمودآباد 
منطقه: خیابان آزادی 
متراژ بنا: 125
متراژ مشاعات :
طبقه: 1 
کل طبقات ساختمان: 6
تعداد واحد هر طبقه: 1
کل واحد ها: 6
تعداد خواب: 3
سال ساخت: نوساز 

⭕️ آپشن های آپارتمان
✅ پارکینگ 


وضعیت سند: سنددار 


 قیمت طبقه اول : 2.625 میلیارد متری 21 میلیون 


#A654
#A2</p>"
